,id,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,haarribattard,velocitatmitja,tempstard
0,0,1,3,4,2003.0,1955,2211.0,2225,WN,335,N712SW,128.0,150.0,116.0,-14.0,8.0,IAD,TPA,810,4.0,8.0,,,,,,False,233.65384615384613,-14.0
1,1,1,3,4,754.0,735,1002.0,1000,WN,3231,N772SW,128.0,145.0,113.0,2.0,19.0,IAD,TPA,810,5.0,10.0,,,,,,True,195.96774193548384,2.0
2,2,1,3,4,628.0,620,804.0,750,WN,448,N428WN,96.0,90.0,76.0,14.0,8.0,IND,BWI,515,3.0,17.0,,,,,,True,175.56818181818184,54.0
3,4,1,3,4,1829.0,1755,1959.0,1925,WN,3920,N464WN,90.0,90.0,77.0,34.0,34.0,IND,BWI,515,3.0,10.0,2.0,0.0,0.0,0.0,32.0,True,237.6923076923077,34.0
4,5,1,3,4,1940.0,1915,2121.0,2110,WN,378,N726SW,101.0,115.0,87.0,11.0,25.0,IND,JAX,688,4.0,10.0,,,,,,True,228.06629834254144,11.0
5,6,1,3,4,1937.0,1830,2037.0,1940,WN,509,N763SW,240.0,250.0,230.0,57.0,67.0,IND,LAS,1591,3.0,7.0,10.0,0.0,0.0,0.0,47.0,True,954.5999999999999,97.0
6,10,1,3,4,706.0,700,916.0,915,WN,100,N690SW,130.0,135.0,106.0,1.0,6.0,IND,MCO,828,5.0,19.0,,,,,,True,236.57142857142858,1.0
7,11,1,3,4,1644.0,1510,1845.0,1725,WN,1333,N334SW,121.0,135.0,107.0,80.0,94.0,IND,MCO,828,6.0,8.0,8.0,0.0,0.0,0.0,72.0,True,247.1641791044776,120.0
8,15,1,3,4,1029.0,1020,1021.0,1010,WN,2272,N263WN,52.0,50.0,37.0,11.0,9.0,IND,MDW,162,6.0,9.0,,,,,,True,-1215.0,11.0
9,16,1,3,4,1452.0,1425,1640.0,1625,WN,675,N286WN,228.0,240.0,213.0,15.0,27.0,IND,PHX,1489,7.0,8.0,3.0,0.0,0.0,0.0,12.0,True,475.21276595744683,15.0
10,17,1,3,4,754.0,745,940.0,955,WN,1144,N778SW,226.0,250.0,205.0,-15.0,9.0,IND,PHX,1489,5.0,16.0,,,,,,False,480.3225806451613,-15.0
11,18,1,3,4,1323.0,1255,1526.0,1510,WN,4,N674AA,123.0,135.0,110.0,16.0,28.0,IND,TPA,838,4.0,9.0,0.0,0.0,0.0,0.0,16.0,True,247.6847290640394,16.0
12,19,1,3,4,1416.0,1325,1512.0,1435,WN,54,N643SW,56.0,70.0,49.0,37.0,51.0,ISP,BWI,220,2.0,5.0,12.0,0.0,0.0,0.0,25.0,True,137.5,77.0
13,21,1,3,4,1657.0,1625,1754.0,1735,WN,623,N724SW,57.0,70.0,47.0,19.0,32.0,ISP,BWI,220,5.0,5.0,7.0,0.0,0.0,0.0,12.0,True,136.08247422680412,19.0
14,22,1,3,4,1900.0,1840,1956.0,1950,WN,717,N786SW,56.0,70.0,49.0,6.0,20.0,ISP,BWI,220,2.0,5.0,,,,,,True,235.71428571428572,6.0
15,23,1,3,4,1039.0,1030,1133.0,1140,WN,1244,N714CB,54.0,70.0,47.0,-7.0,9.0,ISP,BWI,220,2.0,5.0,,,,,,False,140.4255319148936,-7.0
16,25,1,3,4,1520.0,1455,1619.0,1605,WN,2553,N394SW,59.0,70.0,50.0,14.0,25.0,ISP,BWI,220,2.0,7.0,,,,,,True,133.33333333333334,14.0
17,26,1,3,4,1422.0,1255,1657.0,1610,WN,188,N215WN,155.0,195.0,143.0,47.0,87.0,ISP,FLL,1093,6.0,6.0,40.0,0.0,0.0,0.0,7.0,True,279.06382978723406,47.0
18,27,1,3,4,1954.0,1925,2239.0,2235,WN,1754,N243WN,165.0,190.0,155.0,4.0,29.0,ISP,FLL,1093,3.0,7.0,,,,,,True,230.10526315789474,4.0
19,30,1,3,4,2107.0,1945,2334.0,2230,WN,362,N798SW,147.0,165.0,134.0,64.0,82.0,ISP,MCO,972,6.0,7.0,5.0,0.0,0.0,0.0,59.0,True,256.9162995594714,104.0
20,33,1,3,4,1312.0,1300,1546.0,1550,WN,1397,N247WN,154.0,170.0,140.0,-4.0,12.0,ISP,MCO,972,7.0,7.0,,,,,,False,249.23076923076923,-4.0
21,34,1,3,4,1449.0,1430,1715.0,1720,WN,3398,N707SA,146.0,170.0,134.0,-5.0,19.0,ISP,MCO,972,6.0,6.0,,,,,,False,219.24812030075188,-5.0
22,35,1,3,4,1634.0,1555,1859.0,1845,WN,3480,N443WN,145.0,170.0,134.0,14.0,39.0,ISP,MCO,972,5.0,6.0,,,,,,True,259.2,14.0
23,37,1,3,4,1812.0,1650,1927.0,1815,WN,422,N779SW,135.0,145.0,118.0,72.0,82.0,ISP,MDW,765,6.0,11.0,3.0,0.0,0.0,0.0,69.0,True,399.1304347826087,112.0
24,38,1,3,4,1127.0,1105,1235.0,1230,WN,1837,N704SW,128.0,145.0,114.0,5.0,22.0,ISP,MDW,765,9.0,5.0,,,,,,True,425.0,5.0
25,39,1,3,4,1424.0,1355,1531.0,1520,WN,2871,N709SW,127.0,145.0,113.0,11.0,29.0,ISP,MDW,765,8.0,6.0,,,,,,True,428.9719626168224,11.0
26,40,1,3,4,1326.0,1230,1559.0,1530,WN,1056,N459WN,153.0,180.0,143.0,29.0,56.0,ISP,PBI,1052,5.0,5.0,0.0,0.0,0.0,0.0,29.0,True,270.90128755364805,29.0
27,41,1,3,4,1749.0,1725,2019.0,2030,WN,2175,N621SW,150.0,185.0,138.0,-11.0,24.0,ISP,PBI,1052,4.0,8.0,,,,,,False,233.77777777777777,-11.0
28,42,1,3,4,726.0,720,958.0,1020,WN,3319,N206WN,152.0,180.0,140.0,-22.0,6.0,ISP,PBI,1052,4.0,8.0,,,,,,False,272.0689655172414,-62.0
29,43,1,3,4,646.0,640,929.0,955,WN,3667,N280WN,163.0,195.0,151.0,-26.0,6.0,ISP,RSW,1101,3.0,9.0,,,,,,False,233.4275618374558,-26.0
30,44,1,3,4,1153.0,1140,1428.0,1440,WN,2006,N241WN,155.0,180.0,143.0,-12.0,13.0,ISP,TPA,1034,4.0,8.0,,,,,,False,225.60000000000002,-12.0
31,45,1,3,4,1528.0,1510,1802.0,1810,WN,3858,N200WN,154.0,180.0,144.0,-8.0,18.0,ISP,TPA,1034,4.0,6.0,,,,,,False,226.42335766423358,-8.0
32,48,1,3,4,1450.0,1435,1806.0,1745,WN,3244,N475WN,136.0,130.0,121.0,21.0,15.0,JAN,BWI,888,7.0,8.0,0.0,0.0,6.0,0.0,15.0,True,149.6629213483146,61.0
33,49,1,3,4,2245.0,1730,2354.0,1850,WN,186,N792SW,69.0,80.0,59.0,304.0,315.0,JAN,HOU,359,3.0,7.0,282.0,0.0,0.0,0.0,22.0,True,197.61467889908258,504.0
34,52,1,3,4,2025.0,1940,2135.0,2100,WN,3154,N252WN,70.0,80.0,60.0,35.0,45.0,JAN,HOU,359,3.0,7.0,26.0,0.0,0.0,0.0,9.0,True,195.8181818181818,35.0
35,53,1,3,4,1038.0,945,1314.0,1225,WN,1035,N346SW,96.0,100.0,81.0,49.0,53.0,JAN,MCO,587,8.0,7.0,7.0,0.0,0.0,0.0,42.0,True,127.60869565217392,89.0
36,54,1,3,4,1900.0,1850,2123.0,2045,WN,205,N299WN,143.0,115.0,97.0,38.0,10.0,JAN,MDW,666,40.0,6.0,1.0,0.0,28.0,0.0,9.0,True,179.1928251121076,78.0
37,56,1,3,4,948.0,925,959.0,940,WN,3430,N487WN,71.0,75.0,59.0,19.0,23.0,JAX,BHM,365,3.0,9.0,0.0,0.0,0.0,0.0,19.0,True,1990.909090909091,19.0
38,57,1,3,4,646.0,620,725.0,655,WN,1580,N243WN,99.0,95.0,77.0,30.0,26.0,JAX,BNA,484,6.0,16.0,26.0,0.0,4.0,0.0,0.0,True,367.59493670886076,70.0
39,58,1,3,4,1110.0,1040,1136.0,1110,WN,2195,N479WN,86.0,90.0,72.0,26.0,30.0,JAX,BNA,484,5.0,9.0,0.0,0.0,0.0,10.0,16.0,True,1116.923076923077,26.0
40,64,1,3,4,2139.0,2130,2244.0,2240,WN,378,N726SW,65.0,70.0,54.0,4.0,9.0,JAX,FLL,318,3.0,8.0,,,,,,True,181.71428571428572,4.0
41,69,1,3,4,1738.0,1730,1841.0,1840,WN,3948,N467WN,63.0,70.0,49.0,1.0,8.0,JAX,FLL,318,6.0,8.0,,,,,,True,185.24271844660194,1.0
42,70,1,3,4,1813.0,1735,1936.0,1905,WN,54,N643SW,143.0,150.0,125.0,31.0,38.0,JAX,HOU,816,6.0,12.0,11.0,0.0,0.0,0.0,20.0,True,398.0487804878049,31.0
43,71,1,3,4,802.0,750,1001.0,955,WN,2272,N263WN,119.0,125.0,104.0,6.0,12.0,JAX,IND,688,7.0,8.0,,,,,,True,207.43718592964822,46.0
44,74,1,3,4,1734.0,1650,1941.0,1905,WN,23,N521SW,127.0,135.0,113.0,36.0,44.0,JAX,PHL,742,4.0,10.0,3.0,0.0,0.0,0.0,33.0,True,215.07246376811594,36.0
45,75,1,3,4,712.0,700,926.0,915,WN,1232,N663SW,134.0,135.0,120.0,11.0,12.0,JAX,PHL,742,5.0,9.0,,,,,,True,208.0373831775701,11.0
46,76,1,3,4,1318.0,1310,1410.0,1400,WN,977,N376SW,52.0,50.0,39.0,10.0,8.0,JAX,TPA,180,4.0,9.0,,,,,,True,117.39130434782608,10.0
47,77,1,3,4,958.0,900,1052.0,950,WN,1574,N791SW,54.0,50.0,36.0,62.0,58.0,JAX,TPA,180,4.0,14.0,0.0,0.0,4.0,0.0,58.0,True,114.8936170212766,102.0
48,78,1,3,4,1859.0,1850,1950.0,1945,WN,2019,N392SW,51.0,55.0,38.0,5.0,9.0,JAX,TPA,180,4.0,9.0,,,,,,True,118.68131868131869,5.0
49,79,1,3,4,1538.0,1445,1753.0,1710,WN,500,N799SW,75.0,85.0,60.0,43.0,53.0,LAS,ABQ,487,4.0,11.0,15.0,0.0,0.0,0.0,28.0,True,135.90697674418604,43.0
50,81,1,3,4,2248.0,2125,102.0,2345,WN,890,N618WN,74.0,80.0,60.0,77.0,83.0,LAS,ABQ,487,4.0,10.0,7.0,0.0,0.0,0.0,70.0,False,-13.616029822926375,-2243.0
51,82,1,3,4,1327.0,1230,1550.0,1500,WN,1171,N682SW,83.0,90.0,65.0,50.0,57.0,LAS,ABQ,487,3.0,15.0,50.0,0.0,0.0,0.0,0.0,True,131.03139013452915,50.0
52,84,1,3,4,1614.0,1600,1833.0,1825,WN,1925,N509SW,79.0,85.0,60.0,8.0,14.0,LAS,ABQ,487,4.0,15.0,,,,,,True,133.4246575342466,8.0
53,86,1,3,4,1832.0,1655,148.0,30,WN,302,N473WN,256.0,275.0,243.0,78.0,97.0,LAS,ALB,2237,3.0,10.0,8.0,0.0,0.0,0.0,70.0,True,-79.70308788598575,118.0
54,87,1,3,4,1229.0,1155,1633.0,1555,WN,1079,N351SW,124.0,120.0,91.0,38.0,34.0,LAS,AMA,758,5.0,28.0,3.0,0.0,4.0,0.0,31.0,True,112.57425742574257,78.0
55,88,1,3,4,1256.0,1240,1724.0,1720,WN,155,N238WN,148.0,160.0,131.0,4.0,16.0,LAS,AUS,1090,3.0,14.0,,,,,,True,139.74358974358975,4.0
56,89,1,3,4,2118.0,2015,144.0,50,WN,2021,N499WN,146.0,155.0,127.0,54.0,63.0,LAS,AUS,1090,5.0,14.0,23.0,0.0,0.0,0.0,31.0,True,-33.130699088145896,94.0
57,90,1,3,4,905.0,850,1334.0,1330,WN,3222,N309SW,149.0,160.0,135.0,4.0,15.0,LAS,AUS,1090,4.0,10.0,,,,,,True,152.44755244755245,4.0
58,91,1,3,4,1739.0,1640,114.0,25,WN,1018,N245WN,275.0,285.0,253.0,49.0,59.0,LAS,BDL,2298,9.0,13.0,19.0,0.0,0.0,0.0,30.0,True,-84.84923076923077,89.0
59,94,1,3,4,1325.0,1240,1841.0,1810,WN,419,N275WN,196.0,210.0,178.0,31.0,45.0,LAS,BNA,1588,6.0,12.0,2.0,0.0,0.0,0.0,29.0,True,184.65116279069767,31.0
60,95,1,3,4,1506.0,1440,2030.0,2010,WN,2032,N271WN,204.0,210.0,183.0,20.0,26.0,LAS,BNA,1588,6.0,15.0,18.0,0.0,0.0,0.0,2.0,True,181.8320610687023,20.0
61,96,1,3,4,2039.0,1930,155.0,55,WN,3940,N434WN,196.0,205.0,177.0,60.0,69.0,LAS,BNA,1588,5.0,14.0,0.0,0.0,22.0,0.0,38.0,True,-50.57324840764331,100.0
62,98,1,3,4,1611.0,1535,1849.0,1825,WN,538,N619SW,98.0,110.0,73.0,24.0,36.0,LAS,BOI,520,3.0,22.0,9.0,0.0,0.0,0.0,15.0,True,131.0924369747899,24.0
63,99,1,3,4,1824.0,1715,117.0,25,WN,2383,N290WN,233.0,250.0,221.0,52.0,69.0,LAS,BUF,1987,2.0,10.0,48.0,0.0,0.0,0.0,4.0,True,-69.84182776801406,92.0
64,101,1,3,4,2118.0,2015,2224.0,2115,WN,219,N383SW,66.0,60.0,46.0,69.0,63.0,LAS,BUR,223,3.0,17.0,17.0,0.0,6.0,0.0,46.0,True,126.22641509433963,109.0
65,102,1,3,4,1818.0,1740,1916.0,1840,WN,391,N608SW,58.0,60.0,46.0,36.0,38.0,LAS,BUR,223,2.0,10.0,20.0,0.0,0.0,0.0,16.0,True,136.53061224489795,76.0
66,104,1,3,4,2146.0,2055,2250.0,2155,WN,815,N626SW,64.0,60.0,48.0,55.0,51.0,LAS,BUR,223,3.0,13.0,4.0,0.0,4.0,0.0,47.0,True,128.65384615384616,95.0
67,105,1,3,4,2241.0,1910,2340.0,2010,WN,1072,N369SW,59.0,60.0,43.0,210.0,211.0,LAS,BUR,223,3.0,13.0,114.0,0.0,0.0,0.0,96.0,True,135.15151515151516,330.0
68,106,1,3,4,1409.0,1355,1513.0,1500,WN,1328,N396SW,64.0,65.0,50.0,13.0,14.0,LAS,BUR,223,2.0,12.0,,,,,,True,128.65384615384616,13.0
69,107,1,3,4,1100.0,1050,1157.0,1155,WN,1586,N293,57.0,65.0,46.0,2.0,10.0,LAS,BUR,223,2.0,9.0,,,,,,True,234.73684210526318,2.0
70,108,1,3,4,1306.0,1250,1406.0,1355,WN,1838,N509SW,60.0,65.0,47.0,11.0,16.0,LAS,BUR,223,2.0,11.0,,,,,,True,133.79999999999998,51.0
71,109,1,3,4,1726.0,1630,1832.0,1740,WN,2284,N409WN,66.0,70.0,46.0,52.0,56.0,LAS,BUR,223,2.0,18.0,1.0,0.0,0.0,0.0,51.0,True,126.22641509433963,92.0
72,111,1,3,4,1229.0,1220,1342.0,1325,WN,2874,N695SW,73.0,65.0,47.0,17.0,9.0,LAS,BUR,223,2.0,24.0,9.0,0.0,8.0,0.0,0.0,True,118.4070796460177,17.0
73,113,1,3,4,908.0,845,1628.0,1610,WN,1774,N220WN,260.0,265.0,244.0,18.0,23.0,LAS,BWI,2106,6.0,10.0,18.0,0.0,0.0,0.0,0.0,True,175.5,18.0
74,114,1,3,4,1817.0,1730,122.0,50,WN,2632,N784SW,245.0,260.0,230.0,32.0,47.0,LAS,BWI,2106,5.0,10.0,7.0,0.0,0.0,0.0,25.0,True,-74.54867256637168,72.0
75,116,1,3,4,956.0,945,1658.0,1645,WN,818,N244WN,242.0,240.0,213.0,13.0,11.0,LAS,CLE,1825,8.0,21.0,,,,,,True,155.982905982906,13.0
76,117,1,3,4,1849.0,1740,121.0,30,WN,564,N455WN,212.0,230.0,195.0,51.0,69.0,LAS,CMH,1772,2.0,15.0,10.0,0.0,0.0,0.0,41.0,True,-61.52777777777778,91.0
77,118,1,3,4,1210.0,1200,1905.0,1850,WN,991,N297WN,235.0,230.0,201.0,15.0,10.0,LAS,CMH,1772,6.0,28.0,10.0,0.0,5.0,0.0,0.0,True,152.97841726618705,55.0
78,120,1,3,4,1047.0,1030,1328.0,1320,WN,157,N481WN,101.0,110.0,79.0,8.0,17.0,LAS,DEN,629,9.0,13.0,,,,,,True,134.30604982206404,8.0
79,121,1,3,4,2232.0,2115,108.0,5,WN,632,N203WN,96.0,110.0,77.0,63.0,77.0,LAS,DEN,629,6.0,13.0,0.0,0.0,7.0,0.0,56.0,True,-17.768361581920903,103.0
80,122,1,3,4,1512.0,1315,1802.0,1610,WN,706,N491WN,110.0,115.0,88.0,112.0,117.0,LAS,DEN,629,8.0,14.0,0.0,0.0,0.0,0.0,112.0,True,130.13793103448276,192.0
81,123,1,3,4,2025.0,1955,2301.0,2245,WN,908,N480WN,96.0,110.0,78.0,16.0,30.0,LAS,DEN,629,6.0,12.0,7.0,0.0,0.0,0.0,9.0,True,136.73913043478262,56.0
82,124,1,3,4,1439.0,1425,1720.0,1720,WN,1582,N318SW,101.0,115.0,85.0,0.0,14.0,LAS,DEN,629,7.0,9.0,,,,,,False,134.30604982206404,0.0
83,125,1,3,4,1627.0,1600,1916.0,1900,WN,2907,N647SW,109.0,120.0,80.0,16.0,27.0,LAS,DEN,629,8.0,21.0,2.0,0.0,0.0,0.0,14.0,True,130.58823529411765,16.0
84,126,1,3,4,1745.0,1710,2017.0,1945,WN,2192,N313SW,92.0,95.0,78.0,32.0,35.0,LAS,ELP,584,2.0,12.0,10.0,0.0,0.0,0.0,22.0,True,128.8235294117647,72.0
85,127,1,3,4,1049.0,1040,1320.0,1320,WN,2280,N352SW,91.0,100.0,73.0,0.0,9.0,LAS,ELP,584,3.0,15.0,,,,,,False,129.29889298892988,0.0
86,128,1,3,4,1117.0,1050,1325.0,1325,WN,1636,N321SW,128.0,155.0,116.0,0.0,27.0,LAS,GEG,806,3.0,9.0,,,,,,False,232.5,0.0
87,129,1,3,4,1725.0,1620,1940.0,1850,WN,2803,N660SW,135.0,150.0,116.0,50.0,65.0,LAS,GEG,806,4.0,15.0,50.0,0.0,0.0,0.0,0.0,True,224.93023255813952,90.0
88,130,1,3,4,1824.0,1735,2303.0,2230,WN,719,N414WN,159.0,175.0,143.0,33.0,49.0,LAS,HOU,1235,3.0,13.0,12.0,0.0,0.0,0.0,21.0,True,154.6972860125261,73.0
89,131,1,3,4,1150.0,1140,1644.0,1640,WN,1776,N408WN,174.0,180.0,147.0,4.0,10.0,LAS,HOU,1235,3.0,24.0,,,,,,True,150.00000000000003,4.0
90,132,1,3,4,749.0,740,1227.0,1235,WN,3244,N475WN,158.0,175.0,146.0,-8.0,9.0,LAS,HOU,1235,3.0,9.0,,,,,,False,155.02092050209205,-8.0
91,133,1,3,4,2051.0,2010,134.0,55,WN,3746,N321SW,163.0,165.0,150.0,39.0,41.0,LAS,HOU,1235,4.0,9.0,17.0,0.0,0.0,0.0,22.0,True,-38.65414710485133,79.0
92,134,1,3,4,1555.0,1525,2307.0,2245,WN,1027,N230WN,252.0,260.0,232.0,22.0,30.0,LAS,IAD,2066,7.0,13.0,6.0,0.0,0.0,0.0,16.0,True,164.8404255319149,62.0
93,135,1,3,4,2255.0,1820,509.0,55,WN,1924,N761RR,194.0,215.0,176.0,254.0,275.0,LAS,IND,1591,9.0,9.0,0.0,0.0,0.0,8.0,246.0,True,-54.67353951890034,454.0
94,136,1,3,4,1129.0,1050,1757.0,1725,WN,3920,N464WN,208.0,215.0,179.0,32.0,39.0,LAS,IND,1591,8.0,21.0,32.0,0.0,0.0,0.0,0.0,True,152.0063694267516,32.0
95,137,1,3,4,1602.0,1510,2357.0,2255,WN,3144,N272WN,295.0,285.0,269.0,62.0,52.0,LAS,ISP,2283,4.0,22.0,13.0,0.0,10.0,0.0,39.0,True,181.43046357615893,102.0
96,138,1,3,4,1738.0,1715,1838.0,1820,WN,82,N499WN,60.0,65.0,42.0,18.0,23.0,LAS,LAX,236,6.0,12.0,0.0,0.0,0.0,12.0,6.0,True,141.6,18.0
97,139,1,3,4,2207.0,2150,2306.0,2255,WN,135,N244WN,59.0,65.0,40.0,11.0,17.0,LAS,LAX,236,7.0,12.0,,,,,,True,143.03030303030303,51.0
98,140,1,3,4,1851.0,1825,2004.0,1930,WN,317,N335SW,73.0,65.0,41.0,34.0,26.0,LAS,LAX,236,16.0,16.0,18.0,0.0,8.0,0.0,8.0,True,92.54901960784315,74.0
99,141,1,3,4,701.0,645,802.0,745,WN,337,N488WN,61.0,60.0,42.0,17.0,16.0,LAS,LAX,236,7.0,12.0,16.0,0.0,1.0,0.0,0.0,True,140.1980198019802,57.0
